compound,flashpoint,pure substance,smiles,source,is_silicon
Trichloro(Chloromethyl) silane,342.15,1,Cl[Si](CCl)(Cl)Cl,chen14,1
Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14,1
Trichloro(p-chlorophenyl)silane,397.05,1,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14,1
Trisilane,273.15,1,[SiH3][SiH2][SiH3],chen14,1
Trichlorononylsilane,387.15,1,ClC(CCCCCCCC[SiH3])(Cl)Cl,chen14,1
Dichloroethylsilane,263.75,1,ClC(C[SiH3])Cl,chen14,1
Trichloro(dichlorophenyl)silane,419.15,1,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14,1
Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14,1
Tris(trimethylsiloxy)silane,323.15,1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14,1
Hexadecyltrichlorosilane,427.15,1,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14,1
Dichlorosilane,236.15,1,Cl[SiH2]Cl,chen14,1
Dimethyldichlorosilane,257.15,1,C[Si](Cl)(Cl)C,chen14,1
Bromomethyldimethylchlorosilane,314.15,1,BrC[Si](Cl)(C)C,chen14,1
Trimethylsilane,204.15,1,C[SiH](C)C,chen14,1
Dimethylvinylchlorosilane,268.15,1,CC(=C[SiH2]Cl)C,chen14,1
"1,3-Dichlorotetramethyldisiloxane",288.15,1,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14,1
"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](O[SiH](C)C)C,chen14,1
Tetramethyldisilazane,284.15,1,CN([Si](C)(C)C)[SiH3],chen14,1
Allyl Dimethylchlorosilane,278.15,1,C(C=C)[Si](Cl)(C)C,chen14,1
sec-Amyltrichlorosilane,303.15,1,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14,1
n-Butylmethyldichlorosilane,303.15,1,C(CCC)[Si](Cl)(Cl)C,chen14,1
Bis(dimethylamino)methylsilane,270.15,1,CN(C)C(N(C)C)[SiH3],chen14,1
Phenyltrichlorosilane,364.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,chen14,1
Phenyl trifluorosilane,268.15,1,C1(=CC=CC=C1)[Si](F)(F)F,chen14,1
Dimethyldiacetoxysilane,310.15,1,C[Si](OC(C)=O)(OC(C)=O)C,chen14,1
1-Trimethylsilylpropyne,270.15,1,C[Si](C#CC)(C)C,chen14,1
Vinyldimethylethoxysilane,277.15,1,C(=C)[Si](OCC)(C)C,chen14,1
Allyloxytrimethylsilane,273.15,1,C(C=C)O[Si](C)(C)C,chen14,1
Allyltrimethoxysilane,319.15,1,C(C=C)[Si](OC)(OC)OC,chen14,1
3-Chloropropyltrimethoxysilane,348.15,1,ClCCC[Si](OC)(OC)OC,chen14,1
n-Propyltrimethoxysilane,298.15,1,C(CC)[Si](OC)(OC)OC,chen14,1
Hexamethyldisiloxane,270.15,1,C[Si](O[Si](C)(C)C)(C)C,chen14,1
Hexamethyldisilane,272.15,1,C[Si]([Si](C)(C)C)(C)C,chen14,1
Vinyldiethylmethylsilane,288.15,1,C(=C)[Si](C)(CC)CC,chen14,1
Isobutyltrimethoxysilane,315.15,1,C(C(C)C)[Si](OC)(OC)OC,chen14,1
Phenyldimethylchlorosilane,334.15,1,C1(=CC=CC=C1)[Si](Cl)(C)C,chen14,1
"(N,N-Dimethylamino)triethylsilane",299.15,1,CN(C)[Si](CC)(CC)CC,chen14,1
Vinyltriacetoxysilane,361.15,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1
Ethyltriacetoxysilane,377.15,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14,1
3-(Trimethylsilyl)cyclopentene,299.15,1,C[Si](C1C=CCC1)(C)C,chen14,1
Vinyltriethylsilane,298.15,1,C(=C)[Si](CC)(CC)CC,chen14,1
n-Octylsilane,309.15,1,C(CCCCCCC)[SiH3],chen14,1
Methyl phenyldimethoxysilane,349.15,1,C[Si](OC)(OC)C1=CC=CC=C1,chen14,1
2-Cyanoethyltriethoxysilane,359.15,1,C(#N)CC[Si](OCC)(OCC)OCC,chen14,1
3-Glycidoxypropyltrimethoxysilane,383.15,1,C(C1CO1)OCCC[Si](OC)(OC)OC,chen14,1
Di-t-butylmethylchlorosilane,342.15,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,chen14,1
Tri-n-propylchlorosilane,349.15,1,C(CC)[Si](Cl)(CCC)CCC,chen14,1
(Diisopropylamino)trimethylsilane,301.15,1,C(C)(C)N(C(C)C)[Si](C)(C)C,chen14,1
1-Chlorononamethyltetrasiloxane,347.15,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14,1
Tristrimethylsiloxymethylsilane,336.15,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,chen14,1
Diphenylmethylsilane,393.15,1,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],chen14,1
Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C[Si](OC(=C)C)(C)C,chen14,1
"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,ClC(Cl)[SiH2]CCC(F)(F)F,chen14,1
[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,ClCOCC[Si](C)(C)C,chen14,1
Iodotrimethylsilane,288.15,1,I[Si](C)(C)C,chen14,1
Triphenylsilane,416.35,1,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,chen14,1
[3-(mercapto)propyl]triethoxysilane,360.93,1,SCCC[Si](OCC)(OCC)OCC,chen14,1
Hexadecamethylheptasiloxane,406.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14,1
Gamma-aminopropylethoxysilane,369.26,1,NCCC[SiH2]OCC,chen14,1
Dichlorodiethylsilane,297.15,1,Cl[Si](CC)(CC)Cl,chen14,1
Dimethylchlorosilane,245.15,1,C[SiH](Cl)C,chen14,1
ALLYLTRICHLOROGERMANE,328.15,1,C=CC[Ge](Cl)(Cl)Cl,gelest_germanium,0
ALLYLTRIETHYLGERMANE,321.15,1,C=CC[Ge](CC)(CC)CC,gelest_germanium,0
ALLYLTRIMETHYLGERMANE,274.15,1,C=CC[Ge](C)(C)C,gelest_germanium,0
BIS(CHLOROMETHYL)DIMETHYLGERMANE,324.15,1,C[Ge](C)(CCl)CCl,gelest_germanium,0
t-BUTYLDIMETHYLCHLOROGERMANE,307.15,1,CC(C)(C)[Ge](C)(C)Cl,gelest_germanium,0
n-BUTYLTRICHLOROGERMANE,355.15,1,CCCC[Ge](Cl)(Cl)Cl,gelest_germanium,0
DI-n-BUTYLDICHLOROGERMANE,380.15,1,CCCC[Ge](Cl)(Cl)CCCC,gelest_germanium,0
DICHLOROMETHYLTRIMETHYLGERMANE,306.15,1,C[Ge](C)(C)C(Cl)Cl,gelest_germanium,0
DIETHYLDICHLOROGERMANE,325.15,1,CC[Ge](Cl)(Cl)CC,gelest_germanium,0
DIMETHYLAMINOTRIMETHYLGERMANE,263.15,1,CN(C)[Ge](C)(C)C,gelest_germanium,0
DIPHENYLDICHLOROGERMANE,433.15,1,Cl[Ge](Cl)(c1ccccc1)c1ccccc1,gelest_germanium,0
DIPHENYLGERMANE,377.15,1,c1ccc([GeH2]c2ccccc2)cc1,gelest_germanium,0
ETHYLTRICHLOROGERMANE,324.15,1,CC[Ge](Cl)(Cl)Cl,gelest_germanium,0
HEXAMETHYLDIGERMANE,287.15,1,C[Ge](C)(C)[Ge](C)(C)C,gelest_germanium,0
METHACRYLOXYMETHYLTRIMETHYLGERMANE,336.15,1,C=C(C)C(=O)OC[Ge](C)(C)C,gelest_germanium,0
METHYLTRICHLOROGERMANE,283.15,1,C[Ge](Cl)(Cl)Cl,gelest_germanium,0
METHYLTRIETHOXYGERMANE,313.15,1,CCO[Ge](C)(OCC)OCC,gelest_germanium,0
TETRAALLYLGERMANE,343.15,1,C=CC[Ge](CC=C)(CC=C)CC=C,gelest_germanium,0
TETRA-n-BUTOXYGERMANE,385.15,1,CCCCO[Ge](OCCCC)(OCCCC)OCCCC,gelest_germanium,0
TETRA-n-BUTYLGERMANE,363.15,1,CCCC[Ge](CCCC)(CCCC)CCCC,gelest_germanium,0
TETRAETHOXYGERMANE,335.15,1,CCO[Ge](OCC)(OCC)OCC,gelest_germanium,0
TETRAETHYLGERMANE,315.15,1,CC[Ge](CC)(CC)CC,gelest_germanium,0
TETRAKIS(DIMETHYLAMINO)GERMANE,307.15,1,CN(C)[Ge](N(C)C)(N(C)C)N(C)C,gelest_germanium,0
TETRAISOPROPOXYGERMANE,341.15,1,CC(C)O[Ge](OC(C)C)(OC(C)C)OC(C)C,gelest_germanium,0
TETRAMETHOXYGERMANE,307.15,1,CO[Ge](OC)(OC)OC,gelest_germanium,0
TETRAMETHYLGERMANE,254.15,1,C[Ge](C)(C)C,gelest_germanium,0
TRI-n-BUTYLCHLOROGERMANE,367.15,1,CCCC[Ge](Cl)(CCCC)CCCC,gelest_germanium,0
TRI-n-BUTYLGERMANE,351.15,1,CCCC[GeH](CCCC)CCCC,gelest_germanium,0
TRICHLOROGERMANE,285.15,1,Cl[GeH](Cl)Cl,gelest_germanium,0
TRIETHYLCHLOROGERMANE,311.15,1,CC[Ge](Cl)(CC)CC,gelest_germanium,0
TRIETHYLGERMANE,278.15,1,CC[GeH](CC)CC,gelest_germanium,0
TRIISOPROPYLCHLOROGERMANE,339.15,1,CC(C)[Ge](Cl)(C(C)C)C(C)C,gelest_germanium,0
TRIMETHYLBROMOGERMANE,310.15,1,C[Ge](C)(C)Br,gelest_germanium,0
TRIMETHYLCHLOROGERMANE,274.15,1,C[Ge](C)(C)Cl,gelest_germanium,0
VINYLTRIETHYLGERMANE,305.15,1,C=C[Ge](CC)(CC)CC,gelest_germanium,0
ALUMINUM DIISOPROPOXIDE ETHYLACETOACETATE,323.15,1,CC(C)[O-].CC(C)[O-].CCOC(=O)CC(C)=O.[Al+2],gelest_metal-organics,0
ANTIMONY(III) n-BUTOXIDE,341.15,1,CCCC[O-].CCCC[O-].CCCC[O-].[Sb+3],gelest_metal-organics,0
ARSENIC TRIETHOXIDE,322.15,1,CC[O-].CC[O-].CC[O-].[As+3],gelest_metal-organics,0
BORON ALLYLOXIDE,304.15,1,C=CCOCC=C.[B],gelest_metal-organics,0
BORON n-BUTOXIDE,366.15,1,CCCC[O-].CCCC[O-].CCCC[O-].[B+3],gelest_metal-organics,0
BORON ETHOXIDE,284.15,1,CC[O-].CC[O-].CC[O-].[B+3],gelest_metal-organics,0
BORON ISOPROPOXIDE,301.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].[B+3],gelest_metal-organics,0
BORON METHOXIDE,272.15,1,C[O-].C[O-].C[O-].[B+3],gelest_metal-organics,0
BORON METHOXYETHOXIDE,386.15,1,COC(C)[O-].COC(C)[O-].COC(C)[O-].[B+3],gelest_metal-organics,0
NICKEL DI-n-BUTYLDITHIOCARBAMATE,533.15,1,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Ni+2],gelest_metal-organics,0
NIOBIUM(V) n-BUTOXIDE,363.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Nb+5],gelest_metal-organics,0
NIOBIUM(V) ETHOXIDE,347.15,1,CC[O-].CC[O-].CC[O-].CC[O-].CC[O-].[Nb+5],gelest_metal-organics,0
TANTALUM(V) n-BUTOXIDE,339.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Ta+5],gelest_metal-organics,0
TANTALUM(V) ETHOXIDE,313.15,1,CC[O-].CC[O-].CC[O-].CC[O-].CC[O-].[Ta+5],gelest_metal-organics,0
TITANIUM n-BUTOXIDE,349.15,1,CCCC[O-].CCCC[O-].CCCC[O-].CCCC[O-].[Ti+4],gelest_metal-organics,0
TITANIUM CHLORIDE TRIISOPROPOXIDE,295.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Cl-].[Ti+4],gelest_metal-organics,0
TITANIUM ETHOXIDE,301.15,1,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4],gelest_metal-organics,0
TITANIUM ETHOXIDE,303.15,1,CC[O-].CC[O-].CC[O-].CC[O-].[Ti+4],gelest_metal-organics,0
TITANIUM DIISOPROPOXIDE BIS(ETHYLACETOACETATE),300.15,1,CC(C)[O-].CC(C)[O-].CCCC(=O)CC(=O)[O-].CCCC(=O)CC(=O)[O-].[Ti+4],gelest_metal-organics,0
TITANIUM ISOBUTOXIDE,350.15,1,CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].CC(C)C[O-].[Ti+4],gelest_metal-organics,0
TITANIUM ISOPROPOXIDE,298.15,1,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],gelest_metal-organics,0
TITANIUM METHOXIDE,321.15,1,C[O-].C[O-].C[O-].C[O-].[Ti+4],gelest_metal-organics,0
TITANIUM METHYLPHENOXIDE,339.15,1,Cc1ccccc1[O-].Cc1ccccc1[O-].Cc1ccccc1[O-].Cc1ccccc1[O-].[Ti+4],gelest_metal-organics,0
TITANIUM n-PROPOXIDE,318.15,1,CCC[O-].CCC[O-].CCC[O-].CCC[O-].[Ti+4],gelest_metal-organics,0
TITANIUM TRIISOSTEAROYLISOPROPOXIDE,366.15,1,CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].CC(C)CCCCCCCCCCCCCCC(=O)C(C(=O)CCCCCCCCCCCCCCC(C)C)(C(=O)CCCCCCCCCCCCCCC(C)C)C(C)[O-].[Ti+4],gelest_metal-organics,0
ZIRCONIUM t-BUTOXIDE,358.15,1,CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-].[Zr+4],gelest_metal-organics,0
CALCIUM 2-ETHYLHEXANOATE,400.15,1,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Ca+2],gelest_metal-organics,0
SILVER NEODECANOATE,375.15,1,CC(C)(C)CCCCCC(=O)[O-].[Ag+],gelest_metal-organics,0
ZINC 2-ETHYLHEXANOATE,400.15,1,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Zn+2],gelest_metal-organics,0
ZINC NEODECANOATE,375.15,1,CC(C)(C)CCCCCC(=O)[O-].CC(C)(C)CCCCCC(=O)[O-].[Zn+2],gelest_metal-organics,0
TITANIUM TETRACHLORIDE,377.15,1,Cl[Ti](Cl)(Cl)Cl,gelest_metal-organics,0
DIMETHYLALUMINUM CHLORIDE,255.15,1,C[Al](C)Cl,gelest_metal-organics,0
DIMETHYLISOPROPOXYALUMINUM,278.15,1,CC(C)O[Al](C)C,gelest_metal-organics,0
DIMETHYLCADMIUM,255.15,1,C[Cd]C,gelest_metal-organics,0
VINYLFERROCENE,335.15,1,C=C[c-]1cccc1.[Fe+2].c1cc[cH-]c1,gelest_metal-organics,0
TRIMETHYLGALLIUM,272.15,1,C[Ga](C)C,gelest_metal-organics,0
TRIS(DIMETHYLAMINO)GALLIUM,329.15,1,CN(C)[Ga](N(C)C)N(C)C,gelest_metal-organics,0
HAFNIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Hf+4],gelest_metal-organics,0
HAFNIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Hf+4],gelest_metal-organics,0
TRIS(DIETHYLAMINO)(t-BUTYLIMINO) TANTALUM,319.15,1,CCN(CC)[Ta](=NC(C)(C)C)(N(CC)CC)N(CC)CC,gelest_metal-organics,0
TITANIUM TETRAKIS(DIETHYLAMIDE),310.15,1,CC[N-]CC.CC[N-]CC.CC[N-]CC.CC[N-]CC.[Ti+4],gelest_metal-organics,0
TITANIUM TETRAKIS(DIMETHYLAMIDE),281.15,1,C[N-]C.C[N-]C.C[N-]C.C[N-]C.[Ti+4],gelest_metal-organics,0
TITANIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Ti+4],gelest_metal-organics,0
ZIRCONIUM TETRAKIS(ETHYLMETHYLAMIDE),283.15,1,CC[N-]C.CC[N-]C.CC[N-]C.CC[N-]C.[Zr+4],gelest_metal-organics,0
TETRAETHYLLEAD,346.15,1,CC[Pb](CC)(CC)CC,gelest_metal-organics,0
TRIS(TRIMETHYLSILOXY)BORON,315.15,1,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,gelest_metal-organics,1
Trichlorosilane,245,1,Cl[SiH](Cl)Cl,pan12,1
Dichlorosilane,236,1,Cl[SiH2]Cl,pan12,1
Methyltrichlorosilane,276,1,C[Si](Cl)(Cl)Cl,pan12,1
Methyldichlorosilane,241,1,C[SiH](Cl)Cl,pan12,1
Dichloromethylmethyldichlorosilane,301,1,ClC(Cl)[Si](Cl)(Cl)C,pan12,1
Ethyltrichlorosilane,295,1,C(C)[Si](Cl)(Cl)Cl,pan12,1
Dimethyldichlorosilane,257,1,C[Si](Cl)(Cl)C,pan12,1
Dimethylchlorosilane,245,1,C[SiH](Cl)C,pan12,1
"1,1,1-Trifluoropropyltrichlorosilane",288,1,FC(C(C)[Si](Cl)(Cl)Cl)(F)F,pan12,1
Allyltrichlorosilane,304,1,C(C=C)[Si](Cl)(Cl)Cl,pan12,1
Methylvinyldichlorosilane,272,1,CC=C[SiH](Cl)Cl,pan12,1
3-Chloropropyltrichlorosilane,357,1,ClCCC[Si](Cl)(Cl)Cl,pan12,1
Bromomethyldimethylchlorosilane,314,1,BrC[Si](Cl)(C)C,pan12,1
Chloromethyldimethylchlorosilane,295,1,ClC[Si](Cl)(C)C,pan12,1
Trimethylbromosilane,270,1,C[Si](Br)(C)C,pan12,1
Trimethylchlorosilane,255,1,C[Si](Cl)(C)C,pan12,1
Trimethoxysilane,264,1,CO[SiH](OC)OC,pan12,1
Trimethylsilane,204,1,C[SiH](C)C,pan12,1
Cyanoethylmethyldichlorosilane,333,1,C(#N)CC[Si](Cl)(Cl)C,pan12,1
Allylmethyldichlorosilane,300,1,C(C=C)C[SiH](Cl)Cl,pan12,1
3-Chloropropylmethyldichlorosilane,359,1,ClCCC[Si](Cl)(Cl)C,pan12,1
t-Butyltrichlorosilane,294,1,C(C)(C)(C)[Si](Cl)(Cl)Cl,pan12,1
Isobutyltrichlorosilane,310,1,C(C(C)C)[Si](Cl)(Cl)Cl,pan12,1
n-Butyltrichlorosilane,327,1,C(CCC)[Si](Cl)(Cl)Cl,pan12,1
n-Propylmethyldichlorosilane,300,1,C(CC)[Si](Cl)(Cl)C,pan12,1
Bromomethyltrimethylsilane,289,1,BrC[Si](C)(C)C,pan12,1
Ethyldimethylchlorosilane,269,1,C(C)[Si](Cl)(C)C,pan12,1
"1,3-Dichlorotetramethyldisiloxane",288,1,Cl[Si](O[Si](Cl)(C)C)(C)C,pan12,1
Dimethyldimethoxysilane,265,1,C[Si](OC)(OC)C,pan12,1
Methyltrimethoxysilane,284,1,C[Si](OC)(OC)OC,pan12,1
Tetramethoxysilane,294,1,CO[Si](OC)(OC)OC,pan12,1
Tetramethylsilane,245,1,C[Si](C)(C)C,pan12,1
"(N,N-Dimethylamino)dimethylsilane",260,1,CN(C)[SiH](C)C,pan12,1
"1,1,3,3-Tetramethyldisiloxane",251,1,C[SiH](O[SiH](C)C)C,pan12,1
Tetramethyldisilazane,284,1,CN([Si](C)(C)C)[SiH3],pan12,1
Cyclopentyltrichlorosilane,350,1,C1(CCCC1)[Si](Cl)(Cl)Cl,pan12,1
Trimethylsilyltrifluoroacetate,273,1,C[Si](C)(C)OC(C(F)(F)F)=O,pan12,1
Cyclopentyldichlorosilane,316,1,C1(CCCC1)[SiH](Cl)Cl,pan12,1
Allyldimethylchlorosilane,278,1,C(C=C)[Si](Cl)(C)C,pan12,1
3-Chloro-2-methylpropylmethyldichlorosilane,363,1,ClCC(C[Si](Cl)(Cl)C)C,pan12,1
n-Butylmethyldichlorosilane,303,1,C(CCC)[Si](Cl)(Cl)C,pan12,1
Methylvinyldimethoxysilane,277,1,CC=C[SiH](OC)OC,pan12,1
Trimethylvinylsilane,239,1,CC(=C(C)C)[SiH3],pan12,1
Diethylmethylchlorosilane,288,1,C(C)[Si](Cl)(C)CC,pan12,1
Chloromethyldimethylethoxysilane,299,1,ClC[Si](OCC)(C)C,pan12,1
Ethyltrimethoxysilane,300,1,C(C)[Si](OC)(OC)OC,pan12,1
"(N,N-Dimethylamino)trimethylsilane",254,1,CN(C)[Si](C)(C)C,pan12,1
Bis(dimethylamino)methylsilane,270,1,CN(C)C(N(C)C)[SiH3],pan12,1
Pentamethyldisiloxane,254,1,C[SiH](O[Si](C)(C)C)C,pan12,1
Phenyldichlorosilane,333,1,C1(=CC=CC=C1)[SiH](Cl)Cl,pan12,1
Phenylsilane,281,1,C1(=CC=CC=C1)[SiH3],pan12,1
1-Hexenyltrichlorosilane,333,1,C(=CCCCC)[Si](Cl)(Cl)Cl,pan12,1
Bis(chloromethyl)tetramethyldisiloxane,346,1,ClC[Si](O[Si](C)(C)C)(C)CCl,pan12,1
N-Methyl-N-trimethylsilyltrifluoroacetamide,298,1,CN(C(C(F)(F)F)=O)[Si](C)(C)C,pan12,1
Propargyloxytrimethylsilane,300,1,C(C#C)O[Si](C)(C)C,pan12,1
Dimethyldiacetoxysilane,310,1,C[Si](OC(C)=O)(OC(C)=O)C,pan12,1
Divinyldimethylsilane,281,1,C(=C)[Si](C)(C)C=C,pan12,1
n-Hexyltrichlorosilane,358,1,C(CCCCC)[Si](Cl)(Cl)Cl,pan12,1
Vinyldimethylethoxysilane,277,1,C(=C)[Si](OCC)(C)C,pan12,1
"1,1-Dimethyl-1-sila-2-oxacyclohexane",287,1,C[Si]1(OCCCC1)C,pan12,1
Allyloxytrimethylsilane,273,1,C(C=C)O[Si](C)(C)C,pan12,1
Acetoxymethyltrimethylsilane,293,1,C(C)(=O)OC[Si](C)(C)C,pan12,1
Allyltrimethylsilane,280,1,C(C=C)[Si](C)(C)C,pan12,1
Triethylchlorosilane,303,1,C(C)[Si](Cl)(CC)CC,pan12,1
t-Butyldimethylchlorosilane,295,1,C(C)(C)(C)[Si](Cl)(C)C,pan12,1
3-Chloropropyltrimethoxysilane,348,1,ClCCC[Si](OC)(OC)OC,pan12,1
Trimethyl-n-propoxysilane,283,1,C[Si](OCCC)(C)C,pan12,1
t-Butyldimethylsilanol,318,1,C(C)(C)(C)[Si](O)(C)C,pan12,1
Dimethyldiethoxysilane,284,1,C[Si](OCC)(OCC)C,pan12,1
Triethylsilane,270,1,C(C)[SiH](CC)CC,pan12,1
Hexylsilane,285,1,C(CCCCC)[SiH3],pan12,1
t-Butyldimethylsilane,251,1,C(C)(C)(C)[SiH](C)C,pan12,1
Bis(dimethylamino)dimethylsilane,266,1,CN(C)[Si](C)(C)N(C)C,pan12,1
Hexamethylcyclotrisiloxane,305,1,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,pan12,1
Hexamethyldisilthiane,299,1,C[Si](S[Si](C)(C)C)(C)C,pan12,1
Hexamethyldisilane,272,1,C[Si]([Si](C)(C)C)(C)C,pan12,1
Tris(dimethylamino)silane,298,1,CN(C)[SiH](N(C)C)N(C)C,pan12,1
Hexamethyltrisiloxane,293,1,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,pan12,1
Phenylmethyldichlorosilane,355,1,C1(=CC=CC=C1)C[SiH](Cl)Cl,pan12,1
Phenylmethylchlorosilane,355,1,C1(=CC=CC=C1)C[SiH2]Cl,pan12,1
Trivinylmethylsilane,288,1,C(=C)C(C=C)(C=C)[SiH3],pan12,1
Cyclohexylmethyldichlorosilane,355,1,C1(CCCCC1)C[SiH](Cl)Cl,pan12,1
"1-(Trimethylsiloxy)-1,3-butadiene",298,1,C[Si](OC=CC=C)(C)C,pan12,1
2-Chloromethyl-3-trimethylsilyl-1-propene,316,1,ClCC(=C)C[Si](C)(C)C,pan12,1
n-Hexylmethyldichlorosilane,358,1,C(CCCCC)[Si](Cl)(Cl)C,pan12,1
Vinylmethyldiethoxysilane,289,1,C(=C)C[SiH](OCC)OCC,pan12,1
Vinyldiethylmethylsilane,288,1,C(=C)[Si](C)(CC)CC,pan12,1
N-(Trimethylsilyl)morpholine,300,1,C[Si](N1CCOCC1)(C)C,pan12,1
Bis(trimethylsilyl)carbodiimide,315,1,C[Si](C)(C)N=C=N[Si](C)(C)C,pan12,1
t-Butoxytrimethylsilane,287,1,C(C)(C)(C)O[Si](C)(C)C,pan12,1
Vinylpentamethyldisiloxane,285,1,C(=C)[Si](O[Si](C)(C)C)(C)C,pan12,1
Isobutyltrimethoxysilane,315,1,C(C(C)C)[Si](OC)(OC)OC,pan12,1
Methyltriethoxysilane,297,1,C[Si](OCC)(OCC)OCC,pan12,1
(Diethylamino)trimethylsilane,283,1,C(C)N(CC)[Si](C)(C)C,pan12,1
Bis(trimethylsilyl)methane,285,1,C[Si](C)(C)C[Si](C)(C)C,pan12,1
Phenylethyldichlorosilane,365,1,C1(=CC=CC=C1)CC[SiH](Cl)Cl,pan12,1
Phenyldimethylchlorosilane,334,1,C1(=CC=CC=C1)[Si](Cl)(C)C,pan12,1
"(N,N-Dimethylamino)triethylsilane",299,1,CN(C)[Si](CC)(CC)CC,pan12,1
Tetravinylsilane,291,1,C(=C)[Si](C=C)(C=C)C=C,pan12,1
Phenyldimethylsilane,311,1,C1(=CC=CC=C1)[SiH](C)C,pan12,1
Ethyltriacetoxysilane,377,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,pan12,1
Cyclopentadienyltrimethylsilane,302,1,C1(C=CC=C1)[Si](C)(C)C,pan12,1
3-(Trimethylsilyl)cyclopentene,299,1,C[Si](C1C=CCC1)(C)C,pan12,1
"(2,4-Pentadienyl)trimethylsilane",291,1,C(C=CC=C)[Si](C)(C)C,pan12,1
n-Octyltrichlorosilane,369,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,pan12,1
n-Heptylmethyldichlorosilane,339,1,C(CCCCCC)[Si](Cl)(Cl)C,pan12,1
Triethylacetoxysilane,314,1,C(C)C(C(=O)O[SiH3])(CC)CC,pan12,1
Vinyltriethoxysilane,307,1,C(=C)[Si](OCC)(OCC)OCC,pan12,1
Vinyltriethylsilane,298,1,C(=C)[Si](CC)(CC)CC,pan12,1
"1,3-Divinyltetramethyldisilazane",307,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,pan12,1
Tetraethoxysilane,323,1,C(C)O[Si](OCC)(OCC)OCC,pan12,1
Tetraethylsilane,299,1,C(C)[Si](CC)(CC)CC,pan12,1
n-Octylsilane,309,1,C(CCCCCCC)[SiH3],pan12,1
Aminoethylaminopropyltrimethoxysilane,369,1,NCCNCCC[Si](OC)(OC)OC,pan12,1
