compound,flashpoint
"Cyclohexanol, 3,3,5-trimethyl-, (1R,5R)-rel-",88
26dimethyl4heptanone108838,49
2nonanone821556,60
3ethylheptanal55oC,55
3nonanone66oC,66
4nonanone62oC,62
5nonanone,59.85
Diisobutylketone,48.85
nnonanal,70.85
"Cyclohex-1,4-ylenebis(methylamine)",107
"1,3-Cyclohexanebis(methylamine) (8CI)",106
1trimethylsiloxy13butadiene25oC,25
"Octane, 2,7-dimethyl-",81.3
"2,5,5-trimethylheptane",39.7
"2,4,6-trimethylheptane",37.1
4-propylheptane,35.2
"2,4,4-trimethylheptane",38.5
"2,4-dimethyloctane",78.5
"3,3-dimethyloctane",43.5
5-ethyl-2-methylheptane,82
"2,2,3,3-tetramethylhexane",43.7
3-ethyl-2-methylheptane,84.9
5-methylnonane,37.2
"2,2-Dimethyloctane",40.9
"3,4-dimethyloctane",86.5
"3,5-dimethyloctane",81
"3,6-dimethyloctane",83.5
"4,5-dimethyloctane",85.9
"2,2,4,5-tetramethylhexane",36.4
3-ethyl-3-methylheptane,45.2
"3,4-diethylhexane",85.8
"2,4,5-trimethylheptane",40.7
"3,3,4-trimethylheptane",44.4
3-ethyl-5-methylheptane,82.7
"2,2,5,5-tetramethylhexane",31.6
"2,6-dimethyloctane",82.4
"4,4-dimethyloctane",41.8
4methylnonane,37.85
Decane124185,48
CyclohexylDimethylSilane63oC,63
VinylTriethylSilane25oC,29
"p-Benzoquinone, 2-chloro- (8CI)",83.2
"Phenol, 4-chloro-3-methyl-",93.4
2-chloro-6-methylphenol,75
"Phenol, 2-chloro-5-methyl-",81
"Anisole, p-chloro- (8CI)",72.3
1-chloro-2-methoxybenzene,76
"Benzenemethanol, 4-chloro- (9CI)",70
"Phenol, 4-chloro-2-methyl-",90.1
3-chloro-2-methylphenol,84.8
(2-chlorophenyl)methanol,95.4
2-chloro-3-methylphenol,78.1
3-chloro-4-methylphenol,88.5
3-Chlorobenzyl alcohol,95.4
1-chloro-3-methoxybenzene,73.3
2-chloro-4-methylphenol,86.1
"1,2-Benzenediamine, 4-chloro-",135.4
"1,3-Benzenediamine, 4-chloro-",134.4
1propanesulfonylchloride80oC,80
chloro(phenyl)silicon,53.9
"Carbonochloridic acid, 2-chloroethyl ester",70
"Propanoic acid, 2,3-dichloro- (9CI)",85.8
"1,2-dichloro-1-ethoxyethane",43.3
22dichlorodiethylether111444,55
chloro-(chloromethyl)-dimethylsilane,22
Ethylmethyldichlorosilane2oC,2
"2,4-Oxazolidinedione, 3,5,5-trimethyl-",48
2-Naphthalenamine,157.1
"Quinoline, 6-methyl-",109
"Quinoline, 8-methyl-",104
"Quinoline, 7-methyl-",110
1-phenylpyrrole,95.3
3-methylisoquinoline,106.7
1-methylisoquinoline,106.7
2-phenyl-1H-pyrrole,124.6
"Quinoline, 5-methyl-",104.4
6-methylisoquinoline,112.3
"Quinoline, 2-methyl-",79.4
1-Naphthalenamine,152.1
"Quinoline, 4-methyl-",106.1
"Acrylic acid, 3-(dimethylamino)-, ethyl ester, (E)-",68.9
"2-Propenoic acid, 2-(dimethylamino)ethyl ester",29
"N,N-diethylbutanamide",78.2
"N,N-dipropylacetamide",78.2
"Ethanol, 2-(cyclohexylamino)-",117.6
"Pentanamide, 2-ethyl-3-methyl-",119.8
4-Isobutylmorpholine,49.8
1-piperidin-2-ylpropan-1-ol,82.3
"Morpholine, 4-butyl-",51.9
"Valeramide, 2-propyl-",119.9
"Hexane, 1-isothiocyanato-",90.6
"1-Propanamine, N,N-dipropyl-",36.7
"1-Butanamine, N-butyl-N-methyl-",42.2
1nonanamine62oC,62
TripropylAmine29oC,29
"Ethane, 1-bromo-2-chloro-",9.5
"Hydroxylamine, N-(p-chlorophenyl)- (8CI)",106
2-chloro-6-methoxypyridine,76.1
"2-Pyrimidinamine, 4-chloro-6-methyl- (9CI)",151
"Ethane, 1,1-dichloro-1-nitro-",31.7
"p-Dioxane-2,5-dione, 3,6-dimethyl- (8CI)",150.6
"2-Butenedioic acid (2Z)-, dimethyl ester",91.1
"Piperazine, 1,4-dinitroso-",199.4
"4,6(1H,5H)-Pyrimidinedione, dihydro-2-thioxo-",234
1-Naphthalenol,144
2naphthol135193,153
"2-Propenoic acid, 2-ethoxyethyl ester",52.8
"Pentanoic acid, 4-oxo-, ethyl ester",77.9
propan-2-yl 3-oxobutanoate,68.9
"Quinoline, 8-amino-",171.5
"Quinoline, 6-amino- (8CI)",181.9
"Quinoline, 3-amino-",167.8
7-Quinolinamine (9CI),176.1
"Quinoline, 2-amino-",163.6
ethyl 2-methyl-3-oxobutanoate,62
quinolin-5-amine,171.5
oxolan-2-ylmethyl acetate,84.4
2-phenyl-1H-imidazole,180.4
"2-Pentanone, 5-(acetyloxy)- (9CI)",85.4
6-Methylquinoxaline 99%,108.8
ethyl 2-oxopentanoate,71.4
4-Aminoquinoline,181.2
2-hydroxypropyl 2-methylprop-2-enoate,86.9
1-phenylimidazole,120.7
"Quinoxaline, 2-methyl-",107
methyl 2-ethyl-3-oxobutanoate,96.1
"1-Hexanol, 2,3-epoxy-2-ethyl-",73.9
"Isobutyric acid, butyl ester (6CI,7CI,8CI)",46.7
"Pentanoic acid, 2-propyl-",111
"Cyclohex-1,4-ylenedimethanol",161.1
"Heptanoic acid, methyl ester",52
"2-Pentanol, 4-methyl-, acetate",45
"Butanoic acid, butyl ester",49.4
heptyl formate,60
"Hexanoic acid, ethyl ester",49.4
Octanoic acid,107.379
"Hexanoic acid, 2-ethyl-",116.6
propyl 3-methylbutanoate,46.7
"Thiocyanic acid, ethylene ester (6CI,7CI,8CI)",143.8
2-Ethoxycyclohexan-1-ol,80.4
"Ethane, 1,2-diisothiocyanato- (9CI)",122
[3-(hydroxymethyl)cyclohexyl]methanol,131.5
"Butane, 1-(2-(ethenyloxy)ethoxy)- (9CI)",41.9
"1,1-diethoxybut-2-ene",38.9
propan-2-yl 3-methylbutanoate,34.7
"Propanoic acid, 2-methyl-, 2-methylpropyl ester",34.7
"Valeric acid, propyl ester (8CI)",52.4
"Acetic acid, hexyl ester",37.2
"Butanoic acid, 2-methylpropyl ester",45.6
"Acetic acid, 2-ethylbutyl ester",52.8
ethyl 4-methylpentanoate,46.7
14cyclohexanedimethanol161oC,161
Hexylacetate142927,45
IsobutylButyrate539902,50
Isobutylisobutyrate97858,39.85
Methylheptanoate,51.85
OctanoicAcid124072,-19
"Morpholine, 4-(3-aminopropyl)- (8CI)",98
"1,3-dipropylurea",122.3
4-ethylheptan-4-ol,71.1
nonan-5-ol,79.5
2-methyloctan-2-ol,71.1
"3,6-dimethylheptan-3-ol",70
"3,5,5-trimethylhexan-1-ol",80
3-ethylheptan-1-ol,79.5
"3-Octanol, 3-methyl-",71.1
"2,2,3-trimethylhexan-3-ol",57.9
"2-Heptanol, 2,6-dimethyl-",63
"2,6-dimethylheptan-3-ol",69.8
"2,4-dimethylheptan-4-ol",70
"3,5-dimethylheptan-4-ol",69.8
4-methyloctan-4-ol,71.1
"4-Heptanol, 2,6-dimethyl-",66
Nonyl alcohol,97.778
"1-Octanol, 7-methyl-",79.5
1nonanol143088,75
26dimethyl4heptanol66oC,66
2nonanol82oC,82
355trimethyl1hexanol,78.85
3ethyl1heptanol90oC,90
4methyl1octanol85oC,85
6methyl1octanol87oC,87
"N,N,N',N',1-Pentamethyltrimethylenediamine",40.6
"octane-1,8-diamine",165
"Hydrazine, 1-(1,5-dimethylhexyl)-",100.2
tetraethylsilane,26.1
noctylSilane36oC,36
"Acetonitrile, trichloro-",10.5
"1,3-Benzenediol, 4-chloro-",121.6
"1,4-Benzenediol, 2-chloro-",119.7
"1,2-Benzenediol, 4-chloro-",115.3
"Toluene, alpha-chloro-p-fluoro- (8CI)",65
1-chloro-3-fluoro-2-methylbenzene,47.7
(E)-1-chloro-3-ethylpent-1-en-4-yn-3-ol,68.4
4-chlorobenzenethiol,78.6
3-chlorobenzenethiol,90
2-chlorobenzenethiol,88.3
"Thiazole, 2-amino-5-nitro-",162.5
Carbostyril (VAN) (8CI),200.6
8-Hydroxyquinoline,143.1
5-Hydroxyquinoline,201.7
7-Hydroxyquinoline,143.07
4-Hydroxyquinoline,122.3
"Quinoline, 1-oxide, dihydrate",135.2
6-Hydroxyquinoline,143.1
"2,3-dimethyl-1H-indole",120.8
2-phenylbutanenitrile,105
"Indole,1-ethyl- (6CI,7CI,8CI)",107.1
"Butyronitrile, 4-phenyl- (8CI)",131.7
ethyl N-butylcarbamate,77.5
"Heptanoic acid, 7-amino-",117.5
"Ethanol, 2-(bis(1-methylethyl)amino)-",70
2-(dipropylamino)ethanol,65.6
"1,3-Propanediamine, N-(3-aminopropyl)-N-methyl-",102.8
DiethylaminoTrimethylSilane10oC,10
"1-Propene, 1,2,3-trichloro-",65.5
"1,1,2-trichloroprop-1-ene",41.8
"3,3,3-trichloroprop-1-ene",37.7
"s-Triazine, 2,4-diamino-6-chloro- (8CI)",248.9
3-chloro-4-fluoroaniline,149
"2,2,3,3-tetrafluoropropanoic acid",38.9
"1-ethoxy-1,1,2,2-tetrafluoroethane",57
"Toluene, alpha,alpha,alpha-trifluoro-",12
TrifluoromethylBenzene12oC,12
2H-1-Benzopyran-2-one,162
isochromen-1-one,103.5
"Ethanedioic acid, 1,2-diethyl ester",76
"Butanedioic acid, dimethyl ester",88.4
"Ethylene glycol, diacetate",82
1(2H)-Phthalazinone,209.9
Hexanedioic acid,172.745
4-Hydroxyquinazoline,137.3
1-acetyloxyethyl acetate,78.2
dimethyl 2-methylpropanedioate,76.1
"Glucitol, 1,4:3,6-dianhydro-, D-",178.8
"1,3,4-Oxadiazole, 2-phenyl-",111
"Benzamide, p-cyano- (8CI)",165.6
11ethanediolDiacetate64oC,64
12ethanediolDiacetate88oC,88
AdipicAcid124049,196
Ethylacetylglycolate623869,82
EthyleneGlycolDiacetate111557,88.3
Levoglutamide,223.3
1-fluoronaphthalene,65.6
2-fluoronaphthalene,65.4
"4-Thiazolecarboxylic acid, 2-amino-4,5-dihydro-",199.3
"3-Buten-2-one, 4-phenyl-",65.6
"Benzenemethanol, alpha-ethynyl-alpha-methyl-",96
"1,2,3,4-Tetrahydronaphthalen-1-one",104.6
(E)-4-phenylbut-3-en-2-one,65.6
"4,7-dimethyl-1-benzofuran",86.4
"2-Propenal, 2-methyl-3-phenyl-",90.3
"5,6-dimethyl-1-benzofuran",88.7
"Propanoic acid, 2-hydroxy-, butyl ester",71
"Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)- (9CI)",101.8
dipropyl carbonate,55
"Propanoic acid, 3-ethoxy-, ethyl ester",52.2
"Propanenitrile, 3-(phenylamino)-",152.9
4-(dimethylamino)benzonitrile,145.4
"m-Dioxane-4-ethanol, 4-methyl-",101.5
"1-Butanol, 3-methoxy-, acetate",55.9
"2-Propenal, phenylhydrazone (9CI)",102.1
"Carbonicacid, diisopropyl ester (6CI,7CI,8CI)",53
"2,6-dimethyl-1H-benzimidazole",186.614
1ethoxy2propanolAcetate54oC,54
"(2S)-2,6-diaminohexanoic acid",142.2
DL-Lysine,142.216
"2-Propenoic acid, 2-(methylthio)ethyl ester (9CI)",87.7
"2-ethenyl-1,3,5-trimethylbenzene",71.8
"1-methyl-1,2,3,4-tetrahydronaphthalene",79.1
"6-methyl-1,2,3,4-tetrahydronaphthalene",92.3
1-ethenyl-4-propan-2-ylbenzene,70.1
"2-methyl-1,2,3,4-tetrahydronaphthalene",79.7
"1-ethyl-2,3-dihydro-1H-indene",75.5
"3,3-dimethyl-1,2-dihydroindene",63.6
pent-1-en-3-ylbenzene,60.6
"5-methyl-1,2,3,4-tetrahydronaphthalene",94.2
"1,3-Hexanediol, 2-ethyl-",129.4
"2,5-dimethylhexane-2,5-diol",126.7
"Peroxide, bis(1,1-dimethylethyl)",29.7
"Ethanol, 2-(hexyloxy)-",98.9
"Ethanol, 2-(2-ethylbutoxy)-",58.1
224trimethyl13pentanediol110oC,110
Ditertbutylperoxide,11.85
1-amino-3-(diethylamino)propan-2-ol,88.7
"1,2-Ethanediamine, N,N'-bis(2-aminoethyl)-",149
1-fluorononane,85.3
"Diethylenetriamine, 4-(2-aminoethyl)- (6CI,7CI,8CI)",94.5
Triethylenetetramine112243,135
"Propionic acid, 3-(trimethylsilyl)- (8CI)",89
AcetoxymethylTrimethylSilane20oC,20
"Disulfide, di-2-propenyl",42.4
tert-Butyl sulfide (8CI),26.7
"Butane, 1,1'-thiobis-",76.7
2-methyl-1-(2-methylpropylsulfanyl)propane,45.9
1octanethiol111886,68
244trimethyl2pentanethiol31oC,31
Dibutylsulfide544401,76.7
Ditertbutylsulfide107471,48
secButylsulfide,38.85
tbutoxyTrimethylSilane14oC,14
BisDiethylaminoDimethylSilane35oC,35
BisDimethylaminoDimethylSilane-7oC,-7
HexamethylDisilane-1oC,-1
"Ethanesulfonyl fluoride, 2-chloro-",35.7
cyclohexanecarbonyl chloride,81.3
3-bromofuran,3.3
4-bromo-1H-pyrazole,108
"Imidazole, 4(or 5)-bromo- (6CI,7CI)",150.2
12dichlorobenzene,66.85
13dichloroBenzene72oC,72
14dichlorobenzene66oC,66
3-(trifluoromethyl)pyridine,31.1
"Benzenamine, 2,3,4-trifluoro-",71.8
"1H-Isoindole-1,3(2H)-dione",170.9
ethyl 2-nitropropanoate,89.4
"1,2,3-Benzotriazin-4(3H)-one (8CI)",124.6
"Quinoline, 8-fluoro-",98
"Quinoline, 5-fluoro-",98
"Quinoline, 4-fluoro-",98
"Quinoline, 3-fluoro-",98
"Quinoline, 7-fluoro-",98
2-Fluoroquinoline,100.1
"Quinoline, 6-fluoro-",98
"2,5-dimethyl-1,3-benzoxazole",91
2-(4-methoxyphenyl)acetonitrile,112
"1H-Benzimidazol-2-amine, 1-methyl-",156.3
hexyl nitrate,62.8
"1-methyl-3,4-dihydro-2H-quinoline",95
2-[(E)-pent-3-enyl]pyridine,82.8
"1,1-diethoxy-N,N-dimethylmethanamine",22.2
"Ethanol, 2-((2-((2-aminoethyl)amino)ethyl)amino)-",106.1
"Acetaldehyde, 2,2,2-trichloro-",14.9
Dichloroacetylchloride79367,66.1
TrichloroAcetaldehyde50oC,50
"Propane, 1,1,2-trichloro-",44.3
"Propane, 1,2,2-trichloro-",44.1
"Propane, 1,2,3-trichloro-",74
"1,1,3-trichloropropane",59.7
"Pyridine, 2,3-dichloro-",87.5
"Pyridine, 2,6-dichloro-",97.5
"Butanenitrile, 4-bromo-",103.9
"2-Butenedioic acid, 2,3-dihydroxy-, (E)- (9CI)",202.213
"Butanedioic acid, 2,3-dihydroxy-, ion(2-), (R*,S*)- (9CI)",209.4
13isobenzofurandione152oC,152
PhthalicAnhydride,151.85
"Benzonitrile, 3-nitro-",109.9
"Benzonitrile, 4-nitro-",139.9
"Benzonitrile, 2-nitro- (9CI)",137.6
"2-Propenoic acid, 3-phenyl-, (2E)-",189.5
"4H-1-Benzopyran-4-one, 2,3-dihydro-",128.384
"1,2-Propanedione, 1-phenyl-",84
"2H-1-Benzopyran-2-one, 3,4-dihydro-",108.4
3phenyl2propenoic172oC,172
"3-Pyridinecarbonitrile, 1,2-dihydro-4,6-dimethyl-2-oxo-",156.8
"Indoline, 1-nitroso-",135.9
"2-Butanone, 3-ethoxy-1,1-dihydroxy-",99.5
"Hydratropaldehyde, p-methyl- (6CI,7CI,8CI)",101
"Benzene, 1-methoxy-4-(2-propenyl)-",81
"2,4,6-trimethylbenzaldehyde",105.6
"1-Naphthalenol, 1,2,3,4-tetrahydro-",99.9
"2-Naphthalenol, 1,2,3,4-tetrahydro- (9CI)",98.4
2-methyl-1-phenylpropan-1-one,79.3
1-(4-ethylphenyl)ethanone,94.1
1-phenylbutan-2-one,90.6
"5,6,7,8-tetrahydronaphthalen-2-ol",131.8
"Benzene, (3,4-epoxybutyl)-",85.5
"2-Propen-1-ol, 2-methyl-3-phenyl-",122.5
"2-Butanone, 4-phenyl-",98
3-(4-methylphenyl)propanal,99.4
1-(3-methylphenyl)propan-1-one,98.1
"Benzene, 1-methoxy-4-(1-propenyl)-",88.4
"Benzaldehyde, 4-(1-methylethyl)-",93.3
"5,6,7,8-tetrahydronaphthalen-1-ol",122.6
"1-(2,5-dimethylphenyl)ethanone",88.8
"Benzene, 1-methoxy-4-(1-propenyl)-, (E)-",88.4
4-methyl-2-prop-2-enylphenol,101.7
1phenyl1butanone,87.85
Anethole,89.85
"Ethane, 1,1',1''-(methylidynetris(oxy))tris-",30
"Ether, 2-ethoxyethyl 2-methoxyethyl",53.8
"4-Thiazolidinone, 3-amino-2-thioxo-",116
"N,N-dimethyl-N'-phenylmethanimidamide",86.7
"Ethanol, 2-(2-(1-methylethoxy)ethoxyl)-",80.9
"Butyraldehyde, 3-methoxy-, dimethyl acetal (8CI)",47.2
Triethoxymethane,29.85
Triethylorthoformate122510,30
2-methyl-1-benzothiophene,72.4
"Sulfide, phenyl 2-propynyl (6CI,7CI,8CI)",76.7
"1-Octanol, 8-fluoro-",105.8
"Thiophene, tetrahydro-2,4-dimethyl-, 1,1-dioxide",145.6
VinylTrimethoxySilane23oC,23
"1,2,3,4,5-pentamethylbenzene",91.1
"Benzene,neopentyl- (6CI,7CI,8CI)",50.6
1-tert-butyl-3-methylbenzene,60.5
3-methylbutylbenzene,65
2-methylbutan-2-ylbenzene,59.3
"1,3-diethyl-5-methylbenzene",69.8
pentan-2-ylbenzene,60.6
2-methylbutylbenzene,64
1-ethyl-4-propan-2-ylbenzene,65.7
"2,4-dimethyl-1-propan-2-ylbenzene",67.1
1-ethyl-3-propan-2-ylbenzene,62.8
1-methyl-4-(2-methylpropyl)benzene,67.3
"1-ethyl-2,4,5-trimethylbenzene",75.6
pentan-2-ylbenzene,60.6
1-methyl-2-(2-methylpropyl)benzene,68.6
"Benzene, 1-methyl-4-(1,1-dimethylethyl)- (9CI)",54.4
3-methylbutan-2-ylbenzene,56.9
12dimethyl3propylBenzene72oC,72
Pentylbenzene538681,65
DimethylDiethoxySilane11oC,11
"Disulfide, 2-propenyl propyl",54.4
PentamethylDisiloxane-19oC,-19
"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",75.3
Heptanoyl chloride,57
"Heptane, 1-chloro-5-methyl-",52.5
"Heptane, 3-(chloromethyl)-",60
1chlorooctane111853,70
AllylChloromethylDimethylSilane27oC,27
"Pyridazine, 3,6-dichloro-",147.9
"Methanesulfonyl chloride, chloro-",73.4
bromocyclopentane,35
5-bromopent-1-ene,31
"2,2,3,3,3-pentafluoropropan-1-amine",49.5
"Benzene, 1-ethenyl-4-nitro- (9CI)",85.3
"Benzene, (2-nitroethenyl)-",117.5
4-Hydroxy-3-methoxybenzonitrile,130.1
"Adenine, N-methyl- (8CI)",251.9
"Adenine, 9-methyl- (8CI)",187.207
"Acetamide, N-methyl-N-phenyl-",93.2
"N,N-dimethylbenzamide",111.9
"Benzaldehyde, 4-(dimethylamino)-",103.3
ethyl N-phenylmethanimidate,71
pAcetotoluide103899,168
"Ethanol, 2,2',2''-nitrilotris-",185
1-isothiocyanato-4-methylbenzene,100.5
"Benzene, (isothiocyanatomethyl)-",100.4
"Benzothiazole, 2-methyl-",102
"Valine, 3-mercapto-, DL-",106.1
"Valine, 3-mercapto-, D-",106.068
Methionine,139.4
"Methionine, L-",139.4
"L-Cysteine, S-ethyl- (9CI)",128.7
"Benzenamine, N,N-diethyl-",97.8
N-benzylpropan-2-amine,87
"Benzenamine, 4-butyl-",101.7
2-methyl-1-phenylpropan-2-amine,93.1
"Benzenamine, 2,6-diethyl-",123.3
"Benzenamine, 4-(1,1-dimethylethyl)-",101
"Benzenamine, N-butyl-",107
"Benzenemethanamine, N,N,alpha-trimethyl- (9CI)",64.4
"2,6-Octadienenitrile, 3,7-dimethyl-, (2E)-",103.7
2-tert-butylaniline,99.7
4-phenylbutan-2-amine,97.8
4-(2-methylpropyl)aniline,102.7
"Benzenamine, 4-(1-methylpropyl)-",107.8
2-pentan-3-ylpyridine,51.3
26diethylbenzenamine123oC,123
NNdiethylaniline91667,85
NNdiethylBenzenamine85oC,85
"1,2-Dithiolan-4-amine, N,N-dimethyl-",80.4
"Ethanol, 2,2,2-trichloro-",88
Methyltrichlorosilane3oC,3
"Butanamide, 2-chloro-N-methyl-3-oxo-",125.6
"Acetamide, 2-chloro-N,N-diethyl-",77
"2,2,3,3,3-pentafluoropropan-1-ol",11.6
"1,2,4,5-tetrafluorobenzene",16
"1,2,3,4-tetrafluorobenzene",20.6
"1,2,3,5-tetrafluorobenzene",4.4
"(2R,3R)-2,3-dihydroxybutanedioic acid",209.4
"Butanedioic acid, 2,3-dihydroxy-, (theta,theta)-(+-)-",210
"Benzoic acid, 2-formyl-",162.6
"1,3-Benzodioxole-5-carboxaldehyde",103.6
4-formylbenzoic acid,169.2
L-Arabinopyranose,155.3
"Purine-2,6-diyldiamine",447.815
methyl 2-methylbenzoate,82.2
methyl 3-methylbenzoate,95.6
"Benzoic acid, 4-methyl-, methyl ester",90
"Acetic acid, phenyl-, methyl ester",93.9
"Formic acid, 2-phenylethyl ester",119.1
(3-methylphenyl) acetate,85.2
"Acetic acid, phenylmethyl ester",102.2
"Acetic acid, 4-methylphenyl ester",90
Hydrocinnamic acid (8CI),170.045
1-(3-methoxyphenyl)ethanone,91.2
"2,4-dimethylbenzoic acid",131.3
2-ethoxybenzaldehyde,107
1-phenoxypropan-2-one,85
(4-methylphenyl) acetate,173.5
"2,6-dimethylbenzoic acid",126.1
"2,5-Cyclohexadiene-1,4-dione, 2,3,5-trimethyl-",77.3
"1,2-Benzenediol, 4-(2-propenyl)-",141.7
1-(2-hydroxy-5-methylphenyl)ethanone,99.8
2-methoxy-1-phenylethanone,94.9
2-(4-methoxyphenyl)acetaldehyde,108.5
"Benzaldehyde, 4-ethoxy-",75
3-ethoxybenzaldehyde,106.6
"Propane, 1,2-epoxy-3-phenoxy-",94.757
2-phenylpropanoic acid,148
(2-methylphenyl) acetate,84
Benzylacetate140114,90.6
Ethylbenzoate93890,88
PhenylmethylAcetate90oC,90
"Acetic acid, 2-phenylhydrazide",87.8
"Benzenamine, N,N-dimethyl-4-nitroso-",110.3
"Urea, (phenylmethyl)- (9CI)",124.9
"Acetic acid, phenyl-, hydrazide (8CI)",174.5
N-Methyl-N-nitroso-benzenemethanamine,134.1
"Urea, N-methyl-N'-phenyl- (9CI)",98.9
"Ethanol, 2,2'-(1,2-ethanediylbis(oxy))bis-",165.6
"Benzothiazole, 2-amino-",139.8
"Benzothiazole, 6-amino-",149.2
"2H-Benzimidazole-2-thione, 1,3-dihydro-",117.5
"Butanoic acid, 2-hydroxy-4-(methylthio)-",145.2
"Propionic acid, 2-methyl-2-(methylsulfinyl)-",168.2
"Phenol, 2-(1,1-dimethylethyl)-",110
"Phenol, 2-(1-methylpropyl)-",112
"Phenol, 5-methyl-2-(1-methylethyl)-",101
"Phenol, 4-(1,1-dimethylethyl)-",110.9
"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-",88.9
"Phenol, 4-(1-methylpropyl)-",115.6
"Phenethyl alcohol, alpha,alpha-dimethyl-",81.1
"Benzene, 1-methoxy-4-propyl-",90
"2,3,4,5-tetramethylphenol",116.6
"p-Mentha-3,8-diene, 3,9-epoxy- (8CI)",75.5
"Phenol, 2-methyl-5-(1-methylethyl)-",106.7
"2,3,5,6-tetramethylphenol",111.6
"Benzenemethanol, 4-(1-methylethyl)-",106
3-(4-methylpent-3-enyl)furan,55.9
"Bicyclo(3.1.1)hept-2-ene-2-carboxaldehyde, 6,6-dimethyl-",78.9
"Phenol, 3-(1,1-dimethylethyl)-",109.5
"Tricyclo(3.3.1.13,7)decanone (9CI)",95.7
"Ether,isobutyl phenyl (6CI,7CI,8CI)",71.6
n-Butyl phenyl ether,82
"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-en-4-one",85
"Benzenemethanol, alpha-ethyl-alpha-methyl-",90.6
1-ethoxy-4-ethylbenzene,82.3
2-methyl-4-propan-2-ylphenol,104.1
4-prop-1-en-2-ylcyclohexene-1-carbaldehyde,95.6
"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5S)-",97
"Benzenepropanol, gamma-methyl-",102.1
3-methyl-4-propan-2-ylphenol,104.1
2-methyl-6-propan-2-ylphenol,95.6
"2,3,4,6-tetramethylphenol",110.8
"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-",90.2
4-methyl-2-propan-2-ylphenol,98.1
"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (R)- (9CI)",88
butan-2-yloxybenzene,71.6
"Benzenemethanol, alpha,alpha,4-trimethyl-",102.7
4-butylphenol,121.5
4-phenylbutan-2-ol,110
3-methyl-5-propan-2-ylphenol,108.3
"1-Butanol, 4-phenyl- (8CI)",114.3
3-butylphenol,122.7
"2,6,6-trimethylbicyclo[3.1.1]hept-2-en-4-one",85
2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-en-4-one,85.2
Carvacrol,105.85
"Hydrazine, (1-methyl-2-phenylethyl)- (9CI)",148
"2,4-Mesitylenediamine (7CI,8CI)",158.4
"Biurea, 2,5-dithio- (VAN) (8CI)",130.1
(Allylthio)benzene,78.818
Propyl sulfone (8CI),125.8
"3H-1,2,4-Dithiazole-3-thione, 5-amino- (8CI)(9CI)",124
DipropylSulfone598038,126
ethyl(trimethoxy)silane,24.2
EthylTrimethoxySilane27oC,27
trimethyl(phenyl)silane,44
BenzylDimethylSilane65oC,65
TrimethylPhenylSilane40oC,40
Propyl disulfide (8CI),66.1
"Hexane-1,6-dithiol",90.6
"1,2-Bis(ethylthio)ethane",81.2
Isopropyl disulfide (8CI),18.3
"Acetic acid, chloro-, 1,1-dimethylethyl ester",41.4
butyl 2-chloroacetate,79.9
"Butyric acid, 4-chloro-, ethyl ester (8CI)",51.7
"Hexanoic acid, 6-chloro-",107.6
"1,3-Dioxolane, 4-(chloromethyl)-2,2-dimethyl-",54.5
propan-2-yl 2-chloropropanoate,44.7
butyl-chloro-dimethylsilane,30.1
3-chloropropyl(trimethyl)silane,30.5
tbutylDimethylChloroSilane22oC,22
TriethylChloroSilane30oC,30
2-bromopentane,20.6
(2S)-1-bromo-2-methylbutane,22.2
3-bromopentane,31.3
1-bromo-3-methylbutane,32.2
"Propane, 1-bromo-2,2-dimethyl-",6.7
1bromopentane110532,31
"2,3,5,6-tetrafluoropyridine",30.6
"Benzaldehyde, 3-nitro-",128.6
"Benzaldehyde, 4-nitro-",155.2
"Benzaldehyde, 2-nitro-",144
"1,3-Propanediol, 2-(hydroxymethyl)-2-nitro-",209.3
"Benzene, 1,3-dimethyl-2-nitro-",87.8
"Benzene, 1,2-dimethyl-3-nitro-",107.8
"Benzene, 1,4-dimethyl-2-nitro-",100
"m-Xylene, 4-nitro- (8CI)",121
"o-Xylene, 4-nitro- (8CI)",121.5
"Benzene, 1-ethyl-4-nitro-",107.7
"Acetamide, N-(4-hydroxyphenyl)-",188.4
"Acetamide, N-(3-hydroxyphenyl)-",185.2
"Acetamide, 2-phenoxy-",200.9
"Acetic acid, (p-aminophenyl)-",161.9
ethyl pyridine-4-carboxylate,89
"Acetamide, N-hydroxy-N-phenyl-",116.8
"Benzamide, 2-methoxy- (9CI)",155.7
3-Amino-p-toluic acid,173.3
ethyl pyridine-2-carboxylate,107.2
4-methoxybenzamide,161.5
2-nitroethylbenzene,118.8
"m-Xylene, 5-nitro- (8CI)",111.4
"Benzoic acid, 2-amino-, methyl ester",112.9
ethyl pyridine-3-carboxylate,93
"Benzene, 1-ethoxy-4-nitroso-",115.1
"1,2-Benzisothiazol-3(2H)-one",77.5
"3H-1,3-benzothiazol-2-one",171.5
"Ethanol, 2-(methylphenylamino)-",126.7
